Area,Number of Unique Stops Included,Trip Count,Total Avg Ons,Total Avg Offs,Mean Avg Ons,Mean Avg Offs,Max Avg Ons,Max Avg Offs
BGE,10,3378,7180.861148699647,8073.052679336817,1.6943985721329984,1.904920405695332,26.0,45.0
central,4349,18054,131225.6811043154,128479.02793685641,0.3723760179577112,0.3645819050935054,36.0,39.5
allnorth,3626,18606,190971.99980141316,193388.06077897875,0.33441142804356944,0.33864219696565345,50.0,51.0
city wide,8616,40264,814638.7015117883,816831.9259850819,0.2936243371191466,0.29441485208109136,60.0,51.0
