"stop_id","stop_name","stop_lat","stop_lon","location_type","parent_station","zone_id","wheelchair_boarding","the_geom","the_geom_2272","dist","category"
"28586","Butler St & 15th St ",40.010987,-75.152638,NULL,NULL,1,1,"0101000020E61000001E882CD2C4C952C030D7A20568014440","0101000020E00800001E882CD2C4C952C030D7A20568014440",795.0423258336039,"neighborhood"
"16489","Erie Av & Old York Rd",40.008727,-75.147706,NULL,NULL,1,1,"0101000020E610000012DBDD0374C952C0CDCB61F71D014440","0101000020E008000012DBDD0374C952C0CDCB61F71D014440",904.4547189029634,"neighborhood"
"18154","Erie Av & Old York Rd ",40.008824,-75.147481,NULL,NULL,1,1,"0101000020E610000002F2255470C952C0BFB5132521014440","0101000020E008000002F2255470C952C0BFB5132521014440",959.0271292813059,"neighborhood"
"18211","Erie Av & 16th St",40.009687,-75.154321,NULL,NULL,1,1,"0101000020E610000081053065E0C952C02219726C3D014440","0101000020E008000081053065E0C952C02219726C3D014440",982.8721999631528,"neighborhood"
"18166","16th St & Erie Av - FS",40.009813,-75.154356,NULL,NULL,1,1,"0101000020E610000040FCFCF7E0C952C0AF09698D41014440","0101000020E008000040FCFCF7E0C952C0AF09698D41014440",1000.2565490170285,"neighborhood"
"17302","Broad St & Pike St",40.012223,-75.150494,NULL,NULL,1,1,"0101000020E6100000A10F96B1A1C952C027A1F48590014440","0101000020E0080000A10F96B1A1C952C027A1F48590014440",1072.362988766538,"neighborhood"
"17037","Erie Av & 16th St",40.009644,-75.154794,NULL,NULL,1,1,"0101000020E61000007DE71725E8C952C0234DBC033C014440","0101000020E00800007DE71725E8C952C0234DBC033C014440",1112.1964665534451,"neighborhood"
"18167","16th St & Butler St",40.011142,-75.154067,NULL,NULL,1,1,"0101000020E61000002499D53BDCC952C057CEDE196D014440","0101000020E00800002499D53BDCC952C057CEDE196D014440",1125.2533073901554,"neighborhood"
"15985","Broad St & Pike St",40.012384,-75.150611,NULL,NULL,1,1,"0101000020E6100000BEDA519CA3C952C0307F85CC95014440","0101000020E0080000BEDA519CA3C952C0307F85CC95014440",1128.3529988959244,"neighborhood"
"17118","Broad St & Tioga St",40.006237,-75.151947,NULL,NULL,1,1,"0101000020E61000006CEEE87FB9C952C03883BF5FCC004440","0101000020E00800006CEEE87FB9C952C03883BF5FCC004440",1154.5250216930172,"neighborhood"
"16886","Germantown Av & Pike St",40.012422,-75.151982,NULL,NULL,1,1,"0101000020E61000002AE5B512BAC952C01EE0490B97014440","0101000020E00800002AE5B512BAC952C01EE0490B97014440",1183.4722095738643,"neighborhood"
"16080","Germantown Av & Tioga St ",40.006045,-75.149915,NULL,NULL,1,1,"0101000020E6100000828B153598C952C0F4A62215C6004440","0101000020E0080000828B153598C952C0F4A62215C6004440",1211.4802341826785,"neighborhood"
"17299","Broad St & Tioga St",40.006032,-75.15183,NULL,NULL,1,1,"0101000020E61000004F232D95B7C952C05F5D15A8C5004440","0101000020E00800004F232D95B7C952C05F5D15A8C5004440",1218.8733827202086,"neighborhood"
"15720","Germantown Av & Pike St ",40.012673,-75.152277,NULL,NULL,1,1,"0101000020E6100000B6BB07E8BEC952C06745D4449F014440","0101000020E0080000B6BB07E8BEC952C06745D4449F014440",1294.8768790797367,"neighborhood"
"16884","Germantown Av & Tioga St",40.005804,-75.149656,NULL,NULL,1,1,"0101000020E61000009C69C2F693C952C0CE177B2FBE004440","0101000020E00800009C69C2F693C952C0CE177B2FBE004440",1313.9065714276874,"neighborhood"
