"dist_name","stop_id","stop_name","stop_lat","stop_lon","the_geom"
"Upper North","1045","Wyoming Av & Broad St ",40.024552,-75.148247,"0101000020E6100000BA2EFCE07CC952C094861A8524034440"
"Upper North","1272","Logan Station - BSL",40.030618,-75.14658,"0101000020E6100000DA8F149161C952C09F55664AEB034440"
"Upper North","1273","Wyoming Station - BSL",40.02456,-75.147904,"0101000020E6100000A5BC564277C952C0176536C824034440"
"Upper North","1350","Andrews Av & Cheltenham Av ",40.068304,-75.148323,"0101000020E6100000A88FC01F7EC952C0CE177B2FBE084440"
"Upper North","3939","Ogontz Av & 74th Av",40.066947,-75.156206,"0101000020E6100000185C7347FFC952C05CC823B891084440"
"Upper North","5746","Champlost Av & 16th St",40.0448,-75.146878,"0101000020E61000001FA0FB7266C952C02F6EA301BC054440"
"Upper North","5748","Champlost Av & 17th St",40.044875,-75.148451,"0101000020E6100000BE839F3880C952C039B4C876BE054440"
"Upper North","5751","Champlost Av & Broad St",40.044374,-75.143676,"0101000020E6100000164ED2FC31C952C07765170CAE054440"
"Upper North","5755","Champlost Av & Ogontz Av - FS",40.044922,-75.149456,"0101000020E6100000390CE6AF90C952C07A6F0C01C0054440"
"Upper North","5756","Champlost Av & Ogontz Av",40.04503,-75.149526,"0101000020E6100000B5F97FD591C952C060AB048BC3054440"
"Upper North","5757","Champlost Av & Old York Rd",40.044522,-75.144714,"0101000020E61000007E5182FE42C952C0ECF99AE5B2054440"
"Upper North","10940","Nedro Av & Park Av",40.042703,-75.142878,"0101000020E61000005854C4E924C952C07638BA4A77054440"
"Upper North","11098","Ogontz Av & 65th Av",40.053162,-75.150003,"0101000020E610000052D32EA699C952C0EAB12D03CE064440"
"Upper North","11102","Ogontz Av & 67th Av",40.056275,-75.149553,"0101000020E61000003201BF4692C952C08C4AEA0434074440"
"Upper North","11103","Ogontz Av & 67th Av",40.056132,-75.149424,"0101000020E6100000334FAE2990C952C0292158552F074440"
"Upper North","11104","Ogontz Av & 68th Av",40.057578,-75.149359,"0101000020E610000040170D198FC952C00B7C45B75E074440"
"Upper North","11105","Ogontz Av & 68th Av",40.057435,-75.149229,"0101000020E610000059A7CAF78CC952C0A852B3075A074440"
"Upper North","11108","Ogontz Av & 71st Av",40.06218,-75.151659,"0101000020E61000003849F3C7B4C952C08E3BA583F5074440"
"Upper North","11111","Ogontz Av & 74th Av",40.067054,-75.156371,"0101000020E6100000BDC282FB01CA52C07288B83995084440"
"Upper North","11112","Ogontz Av & 76h Av",40.070011,-75.157235,"0101000020E610000057B2632310CA52C01DAED51EF6084440"
"Upper North","11113","Ogontz Av & 76th Av",40.069885,-75.15707,"0101000020E6100000B24B546F0DCA52C090BDDEFDF1084440"
"Upper North","11115","Ogontz Av & 77th Av",40.070823,-75.157481,"0101000020E6100000732F302B14CA52C0FD6662BA10094440"
"Upper North","11117","Ogontz Av & 78th Av",40.071618,-75.157726,"0101000020E6100000A6EECA2E18CA52C008E753C72A094440"
"Upper North","11119","Ogontz Av & 79th Av",40.072484,-75.157971,"0101000020E6100000DAAD65321CCA52C0DCBDDC2747094440"
"Upper North","11120","Ogontz Av & 80th Av",40.073306,-75.158216,"0101000020E61000000D6D003620CA52C0E04C4C1762094440"
"Upper North","11121","Ogontz Av & Andrews Av",40.061358,-75.151225,"0101000020E61000009B559FABADC952C08AAC3594DA074440"
